run,medium_25d,medium_50d,large_25d,large_50d,s_ela
1,0.784482759,0.787701149,0.791264368,0.783908046,0.784252874
2,0.804367816,0.794597701,0.791034483,0.750344828,0.777471264
3,0.794597701,0.797816092,0.766781609,0.746321839,0.801149425
4,0.767241379,0.794367816,0.791494253,0.767011494,0.777241379
5,0.770229885,0.797816092,0.773908046,0.756896552,0.780574713
6,0.759885057,0.797931034,0.78045977,0.763678161,0.784827586
7,0.774367816,0.787931034,0.797471264,0.77045977,0.770574713
8,0.763563218,0.791034483,0.79045977,0.773793103,0.794597701
9,0.777356322,0.774252874,0.78091954,0.767011494,0.777586207
10,0.774137931,0.794712644,0.78091954,0.77045977,0.777586207
11,0.760689655,0.807931034,0.777701149,0.780574713,0.777356322
12,0.794482759,0.787586207,0.791264368,0.78137931,0.787931034
13,0.766896552,0.781149425,0.797931034,0.763678161,0.801149425
14,0.784482759,0.784252874,0.777011494,0.773793103,0.781149425
15,0.763908046,0.794712644,0.794137931,0.801034483,0.773793103
16,0.777816092,0.783678161,0.784137931,0.766781609,0.77045977
17,0.798045977,0.794367816,0.78091954,0.743333333,0.777471264
18,0.777701149,0.780689655,0.78091954,0.763218391,0.767011494
19,0.777701149,0.798275862,0.790689655,0.766896552,0.804712644
20,0.78045977,0.777356322,0.760229885,0.739770115,0.78091954
21,0.791494253,0.79091954,0.777356322,0.770574713,0.808275862
22,0.770689655,0.80137931,0.781264368,0.773793103,0.763103448
23,0.777931034,0.767126437,0.787586207,0.75,0.801149425
24,0.777356322,0.798045977,0.777471264,0.757241379,0.797816092
25,0.777586207,0.777241379,0.783793103,0.774137931,0.767586207
26,0.773908046,0.780574713,0.777471264,0.745747126,0.760229885
27,0.780574713,0.787701149,0.794137931,0.780804598,0.763103448
28,0.787586207,0.781149425,0.780574713,0.743103448,0.77091954
29,0.784022989,0.787701149,0.784252874,0.766896552,0.780689655
30,0.784252874,0.790804598,0.798390805,0.757126437,0.79091954
31,0.787701149,0.787126437,0.767586207,0.770344828,0.794367816
