run,s_ela
1,0.7842528735632184
2,0.7774712643678161
3,0.8011494252873563
4,0.7772413793103449
5,0.7805747126436782
6,0.7848275862068965
7,0.7705747126436782
8,0.7945977011494254
9,0.7775862068965518
10,0.7775862068965517
11,0.7773563218390804
12,0.7879310344827586
13,0.8011494252873563
14,0.7811494252873563
15,0.7737931034482759
16,0.7704597701149426
17,0.7774712643678161
18,0.7670114942528736
19,0.8047126436781609
20,0.7809195402298851
21,0.8082758620689656
22,0.7631034482758621
23,0.8011494252873564
24,0.7978160919540229
25,0.7675862068965518
26,0.7602298850574714
27,0.7631034482758621
28,0.7709195402298851
29,0.7806896551724138
30,0.7909195402298851
31,0.7943678160919541
